DATE            TIME             ELAPSED      CPU      MEM      RSS    VSIZE
2010-10-18      12:40:19.157644    00:00      0.0      0.0        4  2430512
2010-10-18      12:40:20.165239    00:01      1.5      0.3    14324  3047988
2010-10-18      12:40:21.173607    00:02      0.0      0.3    14324  3047988
2010-10-18      12:40:22.182138    00:03      0.0      0.3    14324  3047988
2010-10-18      12:40:23.190328    00:04      0.0      0.3    14324  3047988
2010-10-18      12:40:24.200397    00:05      0.0      0.3    14324  3047988
2010-10-18      12:40:25.215346    00:06      0.2      0.3    12284  3047932
2010-10-18      12:40:26.221152    00:07      0.0      0.3    12348  3047932
